,Feature name,Type,Description and values
0,Encounter ID,Numeric,Unique identifier of an encounter
1,Patient number,Numeric,Unique identifier of a patient
2,Race,Nominal,"Values: Caucasian, Asian, African American, Hispanic, and other"
3,Gender,Nominal,"Values: male, female, and unknown/invalid"
4,Age,Nominal,"Grouped in 10-year intervals: [0, 10), [10, 20), ..., [90, 100)"
5,Weight,Numeric,Weight in pounds.
6,Admission type,Nominal,Integer identifier corresponding to 9 distinct values
7,Discharge disposition,Nominal,Integer identifier corresponding to 29 distinct values
8,Admission source,Nominal,Integer identifier corresponding to 21 distinct values
9,Time in hospital,Numeric,Integer number of days between admission and discharge
10,Payer code,Nominal,Integer identifier corresponding to 23 distinct values
11,Medical specialty,Nominal,Integer identifier of a specialty of the admitting physician
12,Number of lab procedures,Numeric,Number of lab tests performed during the encounter
13,Number of procedures,Numeric,Number of procedures (other than lab tests) performed during the encounter
14,Number of medications,Numeric,Number of distinct generic names administered during the encounter
15,Number of outpatient visits,Numeric,Number of outpatient visits of the patient in the year preceding the encounter
16,Number of emergency visits,Numeric,Number of emergency visits of the patient in the year preceding the encounter
17,Number of inpatient visits,Numeric,Number of inpatient visits of the patient in the year preceding the encounter
18,Diagnosis 1,Nominal,The primary diagnosis (coded as first three digits of ICD9)
19,Diagnosis 2,Nominal,Secondary diagnosis (coded as first three digits of ICD9)
20,Diagnosis 3,Nominal,Additional secondary diagnosis (coded as first three digits of ICD9)
21,Number of diagnoses,Numeric,Number of diagnoses entered to the system
22,Glucose serum test result,Nominal,Indicates the range of the result or if the test was not taken
23,A1c test result,Nominal,Indicates the range of the result or if the test was not taken
24,Change of medications,Nominal,Indicates if there was a change in diabetic medications (either dosage or generic name)
25,Diabetes medications,Nominal,Indicates if there was any diabetic medication prescribed
26,24 features for medications,Nominal,"For the generic names and dosage changes, indicates whether the drug was prescribed or there was a change in the dosage"
27,Readmitted,Nominal,Days to inpatient readmission
